#1|lemma	meta|date	meta|lang_area	count
Blättlein	1532	md	27
Peterlein	1539	md	25
Blümlein	1532	md	24
Blättchen	1870	NA	22
Fässchen	1828	NA	16
Blättlein	1543	md	16
Quentchen	1722	NA	14
Kräutlein	1588	obd	14
Ährchen	1769	NA	14
Früchtchen	1870	NA	14
Quintlein	1588	NA	13
Blümlein	1543	md	13
Quintlein	1673	NA	12
Bälglein	1769	NA	11
Blümchen	1764	NA	11
Blättchen	1764	NA	10
Säcklein	1673	NA	10
Männlein	1532	md	9
Blümchen	1828	NA	9
Samentierchen	1840	NA	9
Blümlein	1539	md	9
Quäntchen	1557	md	9
Säcklein	1588	NA	9
Mausöhrlein	1532	md	9
Tüchlein	1532	md	8
Tüchlein	1673	NA	8
Männlein	1543	md	8
Eiche|Eichen	1840	NA	8
Weiblein	1532	md	8
Weiblein	1543	md	8
Seitenstechen	1675	NA	7
Männlein	1563	md	7
Quintlein	1696	NA	7
Öhrchen	1870	NA	7
Sämlein	1532	md	6
Quintlein	1532	md	6
Blümlein	1588	obd	6
Quäntlein	1673	NA	6
Säcklein	1828	NA	6
Blättlein	1557	md	6
Knöpflein	1532	md	6
Blätterlein	1532	md	5
Männchen	1828	NA	5
Kätzchen	1764	NA	5
Bürdlein	1588	NA	5
Stechen	1532	md	5
Becherlein	1588	NA	5
Ästchen	1870	NA	5
Zeltlein	1609	md	5
Blümlein	1557	md	5
Kochen	1774	NA	5
Weibchen	1828	NA	5
Gertlein	1539	md	5
Honiggrübchen	1870	NA	5
Blättlein	1539	md	5
Gläslein	1603	md	5
Pflänzlein	1588	obd	5
Nüsschen	1870	NA	4
Würmlein	1532	md	4
Männlein	1609	md	4
Kräutlein	1532	md	4
Kräutlein	1675	NA	4
Rechen	1539	md	4
Kennzeichen	1843	NA	4
Pfaffenröhrlein	1532	md	4
Stücklein	1673	NA	4
Nebenästlein	1588	NA	4
Fässlein	1603	md	4
Zweiglein	1609	md	4
Blümlein	1588	NA	4
Blümlein	1675	NA	4
Blümlein	1662	obd	4
Kochen	1482	obd	4
Weiblein	1563	md	4
Reich|Reiche|Reichen	1539	md	4
Zäpflein	1828	NA	4
Säckchen	1828	NA	4
Blättchen	1828	NA	4
Blättlein	1639	obd	4
Blättlein	1662	obd	4
Köpflein	1532	md	4
Büchlein	1557	md	4
Büchlein	1609	obd	4
Löchlein	1603	md	4
Blumenblättchen	1764	NA	4
Wörtlein	1532	md	4
Tüchlein	1563	md	3
Schüssellein	1603	md	3
Samenkörnlein	1719	NA	3
Gartenpeterlein	1539	md	3
Bürdlein	1532	md	3
Kräutlein	1539	md	3
Stänglein	1543	md	3
Stielchen	1769	NA	3
Körnlein	1532	md	3
Keimbläschen	1840	NA	3
Kölblein	1543	md	3
Bälglein	1764	NA	3
Ästlein	1543	md	3
Quintlein	1609	md	3
Küchlein	1673	NA	3
Corsischen	1821	NA	3
Zweiglein	1543	md	3
Zweiglein	1557	md	3
Brechen	1588	NA	3
Brechen	1675	NA	3
Blümlein	1550	NA	3
Blümlein	1696	NA	3
Quäntchen	1563	md	3
Quäntchen	1673	NA	3
Weiblein	1609	md	3
Quäntlein	1487	obd	3
Träublein	1543	md	3
Pontischen	1696	NA	3
Gewerblein	1543	md	3
Zäpflein	1532	md	3
Säckchen	1843	NA	3
Fächlein	1750	NA	3
Bürstlein	1719	NA	3
Blütenköpfchen	1914	NA	3
Säcklein	1532	md	3
Blättlein	1563	md	3
Blättlein	1588	NA	3
Blättlein	1609	md	3
Blättlein	1675	NA	3
Blättlein	1719	NA	3
Blättlein	1750	NA	3
Blättlein	1588	obd	3
Kuchen	1722	NA	3
Köpflein	1639	obd	3
Knöpflein	1539	md	3
Knöpflein	1543	md	3
Knöpflein	1588	NA	3
Büchlein	1532	md	3
Büchlein	1550	NA	3
Schließfrüchtchen	1870	NA	3
Mutterzäpflein	1588	NA	3
Pflänzlein	1639	obd	3
Schälchen	1603	md	2
Seitenstechen	1588	obd	2
Brüstlein	1482	obd	2
Tüchlein	1557	md	2
Tüchlein	1588	NA	2
Tüchlein	1603	md	2
Steinlein	1532	md	2
Quentchen	1828	NA	2
Blumenknöpflein	1675	NA	2
Käferlein	1639	obd	2
Bläslein	1609	md	2
Herzgrüblein	1532	md	2
Priestleyischen	1821	NA	2
Freischlein	1673	NA	2
Konfekttäflein	1539	md	2
Schößlein	1563	md	2
Kräuterbüchlein	1550	NA	2
Katzenträublein	1543	md	2
Männlein	1673	NA	2
Männlein	1675	NA	2
Männlein	1696	NA	2
Männlein	1662	obd	2
Kätzlein	1719	NA	2
Stänglein	1539	md	2
Stänglein	1557	md	2
Stänglein	1696	NA	2
Nebenzweiglein	1696	NA	2
Knochen	1792	NA	2
Samenkeimchen	1840	NA	2
Waldenburgischen	1603	md	2
Körnchen	1828	NA	2
Kügelchen	1764	NA	2
Kügelchen	1840	NA	2
Säulchen	1764	NA	2
Fisch|Fischen	1557	md	2
Eiche|Eichen	1843	NA	2
Eiche|Eichen	1870	NA	2
Bäumlein	1532	md	2
Händlein	1673	NA	2
Rechen	1696	NA	2
Sämlein	1539	md	2
Gamanderlein	1652	md	2
Gamanderlein	1609	obd	2
Krüglein	1603	md	2
Ästlein	1532	md	2
Ästlein	1609	md	2
Ästlein	1673	NA	2
Windröschen	1870	NA	2
Kardamömlein	1673	NA	2
Hörnlein	1532	md	2
Zeltlein	1675	NA	2
Küchlein	1557	md	2
Küchlein	1675	NA	2
Stücklein	1687	obd	2
Steinbrechen	1532	md	2
Magsaatköpflein	1532	md	2
Ährchen	1764	NA	2
Grübchen	1764	NA	2
Fässlein	1696	NA	2
Pfännlein	1603	md	2
Kräuterlein	1532	md	2
Zweiglein	1532	md	2
Zweiglein	1828	NA	2
Brechen	1750	NA	2
Brechen	1487	obd	2
Blümlein	1563	md	2
Blümlein	1609	md	2
Blümlein	1719	NA	2
Blümlein	1750	NA	2
Sprösslein	1609	md	2
Häklein	1532	md	2
Quäntchen	1793	NA	2
Quäntchen	1828	NA	2
Faserchen	1828	NA	2
Quäntlein	1532	md	2
Quäntlein	1543	md	2
Quäntlein	1557	md	2
Pontischen	1563	md	2
Paradeisgärtlein	1588	obd	2
Beetlein	1639	obd	2
Würzlein	1557	md	2
Blatthäutchen	1769	NA	2
Gertlein	1588	NA	2
Gertlein	1719	NA	2
Gertlein	1662	obd	2
Blättchen	1793	NA	2
Blättchen	1843	NA	2
Röhrlein	1603	md	2
Deckblättchen	1860	NA	2
Gläschen	1828	NA	2
Säcklein	1603	md	2
Blättlein	1696	NA	2
Teiglein	1532	md	2
Kuchen	1774	NA	2
Maiblümlein	1588	obd	2
Hühnlein	1557	md	2
Knöpflein	1557	md	2
Knöpflein	1696	NA	2
Knöpflein	1719	NA	2
Büchlein	1588	obd	2
Schifflein	1532	md	2
